5.89,6.24
6.01,6.21
5.89,6.12
5.88,6.11
5.76,6.02
5.75,5.89
5.64,5.97
5.52,5.86
5.45,5.81
5.45,5.75
5.32,5.65
5.33,5.61
5.21,5.45
5.16,5.43
5.11,5.21
5.02,5.12
4.98,5.02
4.88,5.03
4.87,4.98
4.91,4.87
4.98,4.86
4.64,4.76
4.66,4.75
4.41,4.64
4.51,4.51
4.42,4.54
4.38,4.56
4.32,4.66
4.49,4.65
4.38,4.32
4.33,4.31
4.21,4.21
4.23,4.12
4.12,4.11
4.08,4.01
4.01,3.97
3.95,3.85
3.85,3.76
3.78,3.62
3.68,3.53
3.66,3.42
3.52,3.31
3.43,3.15
3.38,3.11
3.32,3.03
3.28,3.01
3.21,2.89
3.2,2.79
3.21,2.81
3.11,2.67
3.01,2.56
2.88,2.45
2.98,2.32
2.75,2.39
2.64,2.51
2.56,2.49
2.45,2.71
2.44,2.68
2.35,2.66
2.36,2.61
2.35,2.59
2.31,2.58
2.29,2.51
2.27,2.49
2.25,2.5
2.26,2.51
2.29,2.56
2.31,2.54
2.38,2.56
2.36,2.59
2.39,2.61
2.41,2.62
2.45,2.66
2.49,2.7
2.56,2.61
2.55,2.63
2.59,2.67
2.63,2.69
2.68,2.71
2.69,2.75
2.73,2.77
2.78,2.79
2.83,2.81
2.88,2.88
2.89,2.9
2.91,2.9
2.95,2.93
2.98,2.97
3.03,2.99
3.09,3.01
3.15,3.03
3.13,3.05
3.18,3.15
3.2,3.05
3.25,3.09
3.21,3.09
3.24,3.11
3.26,3.14
3.28,3.15
3.3,3.16
3.3,3.2
3.31,3.22
3.33,3.23
3.38,3.28
3.39,3.29
3.45,3.33
3.46,3.36
3.48,3.41
3.49,3.44
3.52,3.47
3.55,3.55
3.61,3.54
3.66,3.58
3.67,3.61
3.71,3.67
3.73,3.66
3.73,3.69
3.77,3.75
3.85,3.82
3.88,3.86
3.89,3.89
3.96,3.95
3.99,3.99
4.05,4.03
4.09,4.02
4.05,4.04
4.04,4.09
4.08,4.11
4.09,4.19
4.15,4.15
4.18,4.18
4.2,4.2
4.25,4.22
4.26,4.23
4.27,4.26
4.28,4.27
4.33,4.3
4.35,4.35
4.39,4.39
4.38,4.44
4.39,4.49
4.46,4.53
4.51,4.59
4.53,4.65
4.57,4.73
4.59,4.79
4.62,4.88
4.66,4.91
4.69,4.99
4.71,5.01
4.77,5.03
4.79,5.09
4.81,5.05
4.83,5.09
4.89,5.1
